Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
LAWRENCE LIVERMORE NATIONAL SECURITY LLC,38.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",LIVERMORE,CA,129,Workday/Custom (Likely)
BLIZZARD ENTERTAINMENT INC,20.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,IRVINE,CA,130,Workday/Custom (Likely)
T-MOBILE USA INC,43.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,BELLEVUE,WA,131,Workday/Custom (Likely)
BILL OPERATIONS LLC,20.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,SAN JOSE,CA,132,Workday/Custom (Likely)
TAVANT TECHNOLOGIES INC,27.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,133,Greenhouse/Lever (Likely)
MSRCOSMOS LLC,22.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",STOCKTON,CA,134,Workday/Custom (Likely)
EFICENS SYSTEMS INC,40.0,95.2,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SUWANEE,GA,135,Workday/Custom (Likely)
TIGER ANALYTICS INC,24.0,96.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,136,Workday/Custom (Likely)
AT AND T SERVICES INC,24.0,96.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,DALLAS,TX,137,Workday/Custom (Likely)
TATA ELXSI LIMITED,20.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",TROY,MI,138,Unknown
GENENTECH INC,44.0,97.8,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SOUTH SAN FRANCISCO,CA,139,Greenhouse/Lever (Likely)
RUBRIK INC,30.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",PALO ALTO,CA,140,Workday/Custom (Likely)
BLOCK INC,47.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,OAKLAND,CA,141,Workday/Custom (Likely)
LYFT INC,21.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,142,Workday/Custom (Likely)
INSIGHT GLOBAL LLC,23.0,95.8,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",ATLANTA,GA,143,Workday/Custom (Likely)
HOWARD HUGHES MEDICAL INSTITUTE HHMI,44.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",CHEVY CHASE,MD,144,Unknown
CATALENT PHARMA SOLUTIONS,31.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",BRIDGEWATER,NJ,145,Unknown
TREDENCE INC,20.0,95.2,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SAN JOSE,CA,146,Workday/Custom (Likely)
AFFIRM INC,26.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),52 - Finance and Insurance,SAN FRANCISCO,CA,147,Workday/Custom (Likely)
JANE STREET GROUP LLC,35.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),52 - Finance and Insurance,NEW YORK,NY,148,Workday/Custom (Likely)
VEEVA SYSTEMS INC,29.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),52 - Finance and Insurance,PLEASANTON,CA,149,Workday/Custom (Likely)
CITY OF HOPE NATIONAL MEDICAL CENTER,22.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",DUARTE,CA,150,Unknown
CUBIST SYSTEMATIC STRATEGIES LLC,23.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),52 - Finance and Insurance,NEW YORK,NY,151,Workday/Custom (Likely)
U S BANK NATIONAL ASSOCIATION,31.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),52 - Finance and Insurance,MINNEAPOLIS,MN,152,Workday (Likely)
MAPLEBEAR INC D B A INSTACART,22.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),51 - Information,SAN FRANCISCO,CA,153,Workday/Custom (Likely)
